PLAYER,TEAM,POS,POSF,GP,G,A,PTS,+/-,SHP,PIM,HITS,BLOCKS,SOG,SEASON,FP,FP/GP
Gabriel Vilardi,LAK,W,C,63,23,18,41,10,0,18,41,33,122,20222023,150.5,2.3889
Jimmy Vesey,NYR,W,W,81,11,14,25,13,1,20,98,40,123,20222023,121.1,1.4951
Frederick Gaudreau,MIN,C,C,82,19,19,38,10,5,10,42,52,138,20222023,149.6,1.8244
Mason Shaw,MIN,C,C,59,7,10,17,-1,2,79,87,27,92,20222023,84.6,1.4339
Cole Perfetti,WPG,C,C,51,8,22,30,10,0,16,35,22,90,20222023,102.6,2.0118
Viktor Arvidsson,LAK,W,W,77,26,33,59,-4,1,24,25,48,228,20222023,207.8,2.6987
Tim Stutzle,OTT,W,CW,78,39,51,90,-3,3,54,114,49,228,20222023,301.2,3.8615
Connor Murphy,CHI,D,D,80,7,6,13,-10,2,69,165,160,85,20222023,128,1.6
Zac Dalpe,FLA,C,C,14,2,2,4,-4,0,2,15,6,17,20222023,17,1.2143
Shane Pinto,OTT,C,C,82,20,15,35,-21,0,18,71,49,158,20222023,144.2,1.7585
Evander Kane,EDM,W,W,41,16,12,28,-4,2,53,124,15,146,20222023,129.3,3.1537
Ryan Lindgren,NYR,D,D,63,1,17,18,29,2,45,68,92,75,20222023,101.9,1.6175
Justin Holl,TOR,D,D,80,2,16,18,15,0,39,151,139,60,20222023,126.4,1.58
John Klingberg,ANA/MIN,D,D,67,10,23,33,-25,0,34,55,84,112,20222023,127.1,1.897
Jared Spurgeon,MIN,D,D,79,11,23,34,32,1,14,66,179,149,20222023,185.3,2.3456
Bryan Rust,PIT,W,W,81,20,26,46,-4,1,31,98,50,211,20222023,187.6,2.316
Eric Staal,FLA,C,C,72,14,15,29,-5,2,26,27,45,106,20222023,110.6,1.5361
Tyler Motte,OTT/NYR,C,W,62,8,11,19,3,1,6,118,60,109,20222023,110.3,1.779
Claude Giroux,OTT,W,CW,82,35,44,79,4,1,34,75,30,214,20222023,261,3.1829
Joel Eriksson Ek,MIN,C,C,78,23,38,61,4,3,44,119,55,247,20222023,235.9,3.0244
Alexander Kerfoot,TOR,C,C,82,10,22,32,8,2,30,54,46,133,20222023,127.6,1.5561
Derek Ryan,EDM,C,C,80,13,7,20,11,3,28,54,42,92,20222023,98.1,1.2262
Jack Roslovic,CBJ,C,C,77,11,33,44,-14,3,10,42,53,123,20222023,143.7,1.8662
Anton Lundell,FLA,C,C,73,12,21,33,1,2,43,29,32,152,20222023,124.1,1.7
Kyle Okposo,BUF,W,W,75,11,17,28,-7,1,34,78,25,150,20222023,118,1.5733
Calle Rosen,STL,D,D,49,8,10,18,19,0,8,16,51,62,20222023,80.6,1.6449
Fredrik Olofsson,DAL,W,W,28,1,3,4,0,0,2,32,8,34,20222023,24.6,0.8786
Tanner Laczynski,PHI,C,C,32,2,2,4,-5,0,2,30,10,23,20222023,22.1,0.6906
Luke Hughes,NJD,D,D,2,1,1,2,0,0,0,1,3,2,20222023,6.5,3.25
Dominik Kubalik,DET,W,W,81,20,25,45,-15,0,24,89,26,174,20222023,165.9,2.0481
Mathieu Joseph,OTT,W,W,56,3,15,18,5,3,36,80,28,66,20222023,78.1,1.3946
TJ Brodie,TOR,D,D,58,2,12,14,10,1,14,47,111,58,20222023,87.3,1.5052
Kyle Capobianco,WPG,D,D,14,2,0,2,1,0,6,12,6,14,20222023,13.3,0.95
Frank Vatrano,ANA,W,CW,81,22,19,41,-29,0,66,86,75,231,20222023,181.2,2.237
Nick Ritchie,ARI/CGY,W,W,74,13,13,26,-21,0,53,218,32,120,20222023,135.9,1.8365
Wyatt Kaiser,CHI,D,D,9,0,3,3,-4,0,4,5,10,14,20222023,11.6,1.2889
Brett Kulak,EDM,D,D,82,3,17,20,11,3,41,105,106,114,20222023,121.9,1.4866
Juuso Valimaki,ARI,D,D,78,4,30,34,-10,0,59,53,98,93,20222023,127.6,1.6359
JJ Peterka,BUF,W,W,77,12,20,32,-15,0,26,18,10,125,20222023,103.1,1.339
Alexandre Carrier,NAS,D,D,43,2,7,9,0,0,27,57,67,48,20222023,61.1,1.4209
Josh Anderson,MTL,W,W,69,21,11,32,-8,1,72,139,49,164,20222023,157.9,2.2884
Adam Lowry,WPG,C,C,82,13,23,36,4,5,48,161,46,126,20222023,157.4,1.9195
Matt Nieto,SJS/COL,W,W,81,12,12,24,-15,0,16,43,32,115,20222023,96.7,1.1938
Jonatan Berggren,DET,W,W,67,15,13,28,-14,0,16,20,28,98,20222023,98.8,1.4746
Dylan DeMelo,WPG,D,D,75,6,21,27,10,3,50,120,102,93,20222023,136.2,1.816
Jeffrey Viel,SJS,W,W,4,0,0,0,0,0,2,6,2,4,20222023,2.6,0.65
Nathan Bastian,NJD,W,W,43,6,9,15,7,0,31,99,38,62,20222023,81.7,1.9
Brayden McNabb,VGK,D,D,82,1,16,17,17,2,51,201,198,89,20222023,157.5,1.9207
Tommy Novak,NAS,C,C,51,17,26,43,5,0,8,9,23,93,20222023,131.8,2.5843
Gavin Bayreuther,CBJ,D,D,51,2,12,14,-18,0,23,54,71,61,20222023,68.9,1.351
Phillip Danault,LAK,C,C,82,18,36,54,-8,2,63,81,75,152,20222023,192.7,2.35
Johnathan Kovacevic,MTL,D,D,77,3,12,15,3,0,39,93,86,92,20222023,96.7,1.2558
Sam Reinhart,FLA,C,CW,82,31,36,67,-12,3,12,58,49,227,20222023,233.1,2.8427
Boone Jenner,CBJ,C,CW,68,26,19,45,-32,0,51,129,70,214,20222023,196,2.8824
Simon Edvinsson,DET,D,D,9,2,0,2,-7,0,12,11,8,5,20222023,9.5,1.0556
Mike Matheson,MTL,D,D,48,8,26,34,7,2,33,53,80,126,20222023,137.9,2.8729
Gustav Lindstrom,DET,D,D,36,1,7,8,-16,0,20,39,34,18,20222023,33.8,0.9389
Shayne Gostisbehere,ARI/CAR,D,D,75,13,28,41,-5,2,32,46,89,155,20222023,160.4,2.1387
Caleb Jones,CHI,D,D,73,4,12,16,-19,0,40,116,118,86,20222023,106.1,1.4534
Logan Brown,STL,C,C,30,2,4,6,-4,0,8,22,7,18,20222023,22.9,0.7633
Justin Barron,MTL,D,D,39,4,11,15,-2,1,20,49,38,40,20222023,62.6,1.6051
